ptjCode,ptjText,jabCode,jabText
V,FACULTY OF BUSINESS AND ACCOUNTANCY,V09,DEPARTMENT OF ACCOUNTANCY
V,FACULTY OF BUSINESS AND ACCOUNTANCY,V04,DEPARTMENT OF BUSINESS STRATEGY AND POLICY
V,FACULTY OF BUSINESS AND ACCOUNTANCY,V03,DEPARTMENT OF FINANCE AND BANKING
V,FACULTY OF BUSINESS AND ACCOUNTANCY,V02,DEPARTMENT OF MARKETING
V,FACULTY OF BUSINESS AND ACCOUNTANCY,V07,DEPARTMENT OF OPERATION AND MANAGEMENT INFORMATION SYSTEM
V,FACULTY OF BUSINESS AND ACCOUNTANCY,V01,FACULTY OF BUSINESS AND ACCOUNTANCY DEAN'S OFFICE
V,FACULTY OF BUSINESS AND ACCOUNTANCY,V08,GRADUATE BUSINESS SCHOOL
D,FACULTY OF DENTISTRY,D14,DEPARTMENT OF COMMUNITY ORAL HEALTH & CLINICAL PREVENTION
D,FACULTY OF DENTISTRY,D10,DEPARTMENT OF ORAL & CRANIOFACIAL SCIENCES
D,FACULTY OF DENTISTRY,D04,DEPARTMENT OF ORAL PATHOLOGY & ORAL MEDICINE & PERIODONTOLOGY
D,FACULTY OF DENTISTRY,D11,DEPARTMENT OF ORO-MAXILLOFACIAL SURGICAL & MEDICAL SCIENCES
D,FACULTY OF DENTISTRY,D13,DEPARTMENT OF PAEDIATRIC DENTISTRY & ORTHODONTICS
D,FACULTY OF DENTISTRY,D07,DEPARTMENT OF PROSTHETIC DENTISTRY
D,FACULTY OF DENTISTRY,D12,DEPARTMENT OF RESTORATIVE DENTISTRY
D,FACULTY OF DENTISTRY,D01,FACULTY OF DENTISTRY DEAN'S OFFICE
D,FACULTY OF DENTISTRY,G231,ORAL CANCER RESEARCH AND COORDINATING CENTRE (OCRCC)
B,ACADEMY OF MALAY STUDIES,B01,ACADEMY OF MALAY STUDIES DIRECTOR'S OFFICE
B,ACADEMY OF MALAY STUDIES,B05,DEPARTMENT OF ARTS
B,ACADEMY OF MALAY STUDIES,B08,DEPARTMENT OF DOCUMENTATION
B,ACADEMY OF MALAY STUDIES,B04,DEPARTMENT OF LANGUAGE
B,ACADEMY OF MALAY STUDIES,B06,DEPARTMENT OF LINGUISTICS
B,ACADEMY OF MALAY STUDIES,B02,DEPARTMENT OF LITERATURE
B,ACADEMY OF MALAY STUDIES,B03,DEPARTMENT OF SOCIOCULTURE
G8,DEPUTY VICE CHANCELLOR(RESEARCH & INNOVATION),G818,CENTRE FOR CREATIVE CONTENT AND DIGITAL INNOVATION (CCCDI)
